atemp,casual,cnt,holiday,hr,hum,temp,weathersit,weekday,windspeed,workingday
0.1212,5,6,0,18,0.44,0.18,3,6,0.1045,1
0.1364,0,10,-10.884125,19,0.32,0.2,2,6,0.1343,1
0.1212,2,19,0,23.0,0.32,0.2,2,13.8775,0.1642,1
0.1212,1,49,-10.884125,21,0.29,0.2,2,6,0.1642,1
0.1212,0,49,0,22,0.37,0.2,1,13.8775,0.1642,1
0.1212,1,83,0,23,0.39,0.2,1,13.8775,16.355,1
-3.4875,0,72,0,1,0.36,3.4328,-2.5,6,0,0
5.2925,2,82,18.130475,23.0,0.39,0.14,1,6,0.1642,0
5.2925,4,92,0,3,0.36,0.14,1,6,16.355,0
0.1212,2,62,0,4,0.39,3.4328,1,6,0.1642,0
0.1212,0,48,0,5,0.42,0.12,1,6,-9.925,0
0.197,0,20,0,8,0.46,0.1,1,6,16.355,0
0.2121,4,6,0,10,0.53,0.1,4.0,6,0.1045,0
5.2925,1,1,0,12,0.49,3.4328,1,6,16.355,0
0.1667,3,3,0,13,0.53,0.08,1,6,0.3881,0
0.1667,1,1,0,14,0.49,0.08,1,6,0.3582,0
0.1364,1,332.0,18.130475,15,0.46,0.1,1,6,0.3284,0
0.1515,2,3,0,16,0.43,0.08,1,6,0.4925,0
0.1515,0,188,0,18,11.9068,0.12,1,6,0.4478,0
0.1818,0,31,0,19,0.34,0.14,1,6,0.4478,0
0.2273,2,52,0,21,0.35,0.18,1,0,-9.925,0
0.2121,3,37.3936875,0,22,0.34,0.2,1,0,0.2537,0
0.197,3,47,0,23,0.37,0.22,1,0,0.2537,0
5.2925,3,45,0,0,-7.178,0.22,1,0,0.3582,-10.45
0.2121,4,74,0,1,0.43,0.2,4.0,13.8775,16.355,0
0.2273,2,178,0,2,0.46,0.18,1,0,0.4478,0
0.2273,-11.1,155,0,3,0.46,0.16,1,0,0.3881,0
0.2273,3,95,0,4,0.46,0.16,1,0,0.4627,0
0.197,2,74,0,5,0.5,0.14,3.5,0,0.4627,0
0.1515,4,38,-10.884125,6,0.5,3.4328,1,0,0.4179,12.07
0.2273,0,12,0,9,0.5,0.12,1,0,0.194,0
0.1515,0,3,0,10,0.54,0.12,-2.5,13.8775,0.194,0
0.197,0,3,0,11,0.54,0.12,4.0,0,0.2836,17.07
0.1818,1,6,0,12,0.5,0.12,1,-8.4625,0.194,0
0.197,1,27,0,10.375,0.5,3.4328,1,0,0.2836,0
0.197,0,332.0,0,14,0.5,0.1,1,0,0.5224,0
0.1515,0,130,0,16,0.5,0.1,1,0,16.355,0
0.1515,0,54,0,17,0.5,0.12,1,0,16.355,0
0.1515,0,35,18.130475,23.0,0.47,3.4328,1,0,0.4478,0
0.1515,0,57,0,19,0.4,0.12,1,0,0.4478,0
0.1667,3,52,0,20,0.4,0.14,-2.5,-8.4625,0.4627,0
5.2925,3,63,0,21,0.4,0.14,1,0,0.3582,0
0.1818,0,47,0,22,0.4,0.16,2,0,0.4478,17.07
0.1515,3,136,0,0,0.4,0.2,2,0,0.3881,0
0.1667,1,32,0,2,0.4,0.2,2,1,16.355,0
5.2925,5,20,0,5,0.47,3.4328,2,1,-9.925,0
0.1818,0,29,0,23.0,0.5,0.2,2,1,0.4179,0
5.2925,2,19,0,7,0.59,0.2,2,1,0.2985,0
0.1515,175.0,7,0,8,0.59,0.2,2,13.8775,0.194,0
0.1364,2,6,0,9,0.59,0.16,1,1,0.2836,0
0.1212,1,5,0,11,0.59,0.14,3.5,1,0.2836,0
0.1212,1,16,0,12,0.55,0.14,1,1,0.2239,0
0.1212,0,54,18.130475,13,11.9068,0.14,1,1,0.2239,1
5.2925,0,-22.3228125,0,14,11.9068,3.4328,1,13.8775,0.1343,1
0.1212,0,39,0,15,0.55,0.14,1,1,0.2537,17.07
0.1364,5,44,0,18,-7.178,0.16,1,1,0.2836,1
0.1364,2,68,0,20,0.51,0.16,1,1,0.2239,1
0.1667,3,137,0,23.0,11.9068,0.18,2,1,0.2537,1
0.197,18.26,83,0,23,0.8,0.2,2,1,0.2985,1
0.2121,2,33,0,1,11.9068,0.2,2,1,0.2836,-10.45
0.1515,1,2,0,6,0.93,0.2,2,1,0.2836,1
0.1515,0,2,0,7,0.93,0.2,2,1,0.2239,17.07
0.1212,0,72,0,11,0.93,0.16,2,1,0.2239,1
0.1818,0,139,0,13,0.86,0.16,4.0,2,0.1045,1
0.1667,2,37,18.130475,14,0.86,0.16,2,2,0.2239,1
0.1515,0,52,0,15,0.86,3.4328,2,2,0.1642,1
0.1818,4,83,0,16,0.86,3.4328,2,2,0.1642,17.07
0.1667,6,37.3936875,0,17,0.93,0.16,3,2,0.194,1
0.197,2,60,0,18,0.69,0.16,3,2,16.355,1
0.2424,9,37.3936875,0,20,0.59,0.14,3,2,0.1642,1
0.2424,3,99,0,21,0.55,3.4328,3,2,0.1045,1
0.2273,4,30,0,10.375,0.44,3.4328,2,2,16.355,1
5.2925,1,14,0,23.0,0.47,0.16,2,13.8775,0.1343,1
0.2424,3,5,0,3,0.47,0.16,4.0,2,0.1343,1
0.197,2,1,0,4,0.44,3.4328,1,2,0,17.07
0.197,0,1,0,5,0.47,0.2,1,2,0.0896,1
0.2273,0,8,0,6,0.47,0.2,1,2,0.1642,1
0.2273,0,-22.3228125,0,7,0.47,0.22,1,2,0.1642,1
-3.4875,-11.1,70,0,8,0.5,0.2,1,2,16.355,1
0.1515,1,158,0,9,0.55,0.2,1,2,0.1045,1
0.1818,2,117,0,10,0.55,0.22,1,2,0.0896,1
-3.4875,2,44,18.130475,11,0.59,0.2,1,2,0.0896,1
0.197,18,37.3936875,0,12,0.59,0.2,1,13.8775,16.355,1
-3.4875,15,61,0,13,0.5,0.18,1,2,0.2239,-10.45
0.2879,175.0,64,0,15,0.5,0.16,1,3,16.355,1
0.3182,21,68,0,16,0.5,0.16,1,3,0.1045,1
0.3333,33,37.3936875,0,17,0.5,0.16,1,3,0,1
0.303,29,159,0,18,0.54,0.14,1,3,0.194,1
0.2879,15,139,0,10.375,0.54,0.14,1,3,0.0896,1
0.303,14,92,0,20,0.5,0.14,1,3,0.1045,1
0.303,6,68,0,21,0.5,0.14,1,3,0.0896,1
0.2879,5,36,0,23,0.44,0.14,1,3,0.0896,1
0.303,6,27,0,0,0.44,0.14,3.5,3,0.1045,1
0.2727,4,28,0,1,0.41,0.14,1,3,0.1343,1
0.2879,3,20,0,2,0.41,0.12,1,3,0.1642,1
0.2727,9,12,0,3,0.38,0.12,1,3,0.1343,1
0.2576,1,5,0,6,0.4,3.4328,1,13.8775,0.1343,1
0.2576,0,1,0,7,0.4,0.16,1,3,0.1642,1
0.2121,0,3,0,23.0,0.47,0.2,1,3,0.3284,1
0.2121,3,-22.3228125,0,10,0.46,0.22,1,3,0.2239,1
0.2121,8,33,0,11,0.46,0.22,1,3,0.3881,1
0.2273,23,59,0,12,0.5,3.4328,1,3,0.5821,1
0.2727,22,101,0,15,0.54,0.2,2,3,0.3582,1
-3.4875,175.0,129,0,17,0.54,0.16,1,3,0.3284,-10.45
0.2121,23,332.0,0,18,0.54,0.16,1,13.8775,0.4179,1
0.2121,11,83,0,23.0,0.54,0.14,1,4,0.3284,1
0.197,14,84,0,20,0.74,0.14,1,4,16.355,1
0.197,6,41,0,22,11.9068,0.12,1,4,0.5224,1
0.2121,2,57,0,23,0.69,0.12,-2.5,4,0.4179,1
0.2273,0,26,0,10.375,0.55,0.1,1,4,16.355,1
0.197,1,44,0,1,0.51,0.1,1,4,0.3284,1
0.197,1,39,0,2,0.44,0.1,1,4,0.4478,1
0.1818,0,16,0,4,0.37,0.1,1,4,16.355,1
0.197,1,15,0,5,-7.178,0.1,1,4,16.355,1
-3.4875,0,1,0,6,0.38,0.1,1,4,0.2836,1
5.2925,0,2,0,7,0.41,0.12,1,4,0.3582,1
0.1515,7,18,0,10,0.59,0.18,1,13.8775,0.3284,1
0.197,10,79,0,11,0.59,0.18,1,-8.4625,0.2537,1
0.197,13,93,18.130475,12,0.69,0.2,1,4,0.2985,1
0.2121,18.26,104,0,13,0.69,0.22,-2.5,4,16.355,1
0.2121,6,118,0,14,0.55,0.22,1,4,0.1343,1
0.1818,2,99,0,17,0.59,0.22,1,4,0.3284,1
0.1515,175.0,105,0,18,0.59,0.2,1,4,0.3582,1
0.1212,175.0,67,0,19,0.59,0.16,1,4,0.4478,1
0.1364,1,61,0,23.0,0.59,0.18,3.5,4,0.4179,17.07
0.197,0,28,0,22,0.63,0.16,1,4,0.4478,1
0.2273,0,17,0,0,0.64,0.18,1,5,0.2985,1
0.2273,1,8,0,2,0.55,0.16,1,5,0.3582,17.07
0.2273,1,2,0,3,0.48,0.16,1,5,0.2836,-10.45
0.2727,0,3,0,4,0.38,0.16,1,5,0.3284,1
0.2727,1,13,0,6,0.36,0.14,1,5,16.355,1
0.2727,175.0,33,0,23.0,0.34,0.14,1,5,0.2239,1
0.2273,1,47,0,8,0.36,3.4328,1,5,0.2985,1
0.2576,0,64,0,9,0.45,3.4328,2,5,0.3284,1
0.2576,0,80,1,10,0.39,0.18,2,5,0.194,1
0.2576,1,93,1,23.0,0.39,0.2,1,5,0.194,1
0.2576,1,86,18.130475,12,11.9068,0.24,2,5,0.1642,1
0.2576,2,93,1,13,0.42,0.28,2,5,0.1343,1
0.2727,1,82,1,14,0.45,0.3,2,5,0.1045,1
0.303,175.0,332.0,1,23.0,0.56,0.32,2,5,16.355,1
0.3182,5,92,1,23.0,0.56,0.34,1,5,16.355,17.07
0.4091,175.0,60,1,17,-7.178,3.4328,1,5,0.1642,1
0.4091,7,33,1,18,-7.178,0.3,4.0,5,16.355,17.07
0.3333,7,4,1,23.0,0.56,0.32,1,5,0.1343,1
0.3182,5,3,1,22,0.56,0.32,1,5,0.194,1
0.303,2,-22.3228125,18.130475,0,0.55,0.3,1,-8.4625,0.2836,1
0.2879,4,35,18.130475,1,0.51,0.3,1,13.8775,0.2537,1
5.2925,6,61,1,2,0.51,0.26,1,5,0.3881,1
0.2727,1,125,1,10.375,0.44,0.26,1,5,0.2836,1
0.2273,175.0,332.0,1,4,0.41,0.26,2,6,0.1642,17.07
0.2727,2,99,1,5,0.35,0.22,2,6,16.355,12.07
5.2925,0,83,1,6,0.36,0.26,2,6,0.1642,1
0.2576,0,41,1,-12.625,0.38,0.26,2,6,0,1
0.2273,0,33,1,8,-7.178,0.26,2,6,0.0896,1
0.2121,0,20,1,9,0.37,0.24,2,6,0,1
0.2121,1,332.0,0,10,0.4,0.22,2,6,0,1
0.2121,2,7,0,11,0.47,0.22,2,6,0,1
0.2273,3,3,0,12,0.47,0.22,1,6,0,1
0.3333,7,7,18.130475,14,0.49,0.24,1,6,0,1
0.2879,12,32,0,15,0.4,0.24,1,6,0.0896,1
0.303,6,90,0,16,0.47,0.26,1,6,-9.925,1
0.303,8,109,0,23.0,0.43,3.4328,1,6,0,1
-3.4875,2,78,0,21,0.43,0.2,1,6,0,1
0.2273,3,75,0,22,0.43,0.18,2,-8.4625,16.355,1
0.2121,175.0,104,0,12,11.9068,0.18,4.0,6,0.1045,-7.45
-3.4875,1,332.0,0,13,-7.178,0.2,1,6,0,0
0.2273,0,161,0,14,0.5,0.2,1,6,0.1343,0
0.2424,18.26,112,0,15,0.55,0.2,1,6,0.1343,0
0.2121,0,76,0,16,0.47,0.2,1,6,0.1642,0
5.2925,2,59,0,18,0.43,0.18,1,6,0.2239,0
0.1818,7,28,0,19,0.47,0.18,1,6,0.2985,0
0.1818,7,13,0,20,11.9068,0.18,1,0,0.2836,0
0.1667,6,5,0,21,0.51,0.18,1,0,0.194,0
0.1818,6,2,0,22,0.55,0.16,1,0,0.194,0
0.1818,11,1,0,23,0.59,3.4328,1,0,16.355,0
0.1212,4,35,0,2,0.8,0.16,1,0,0.2537,0
0.1364,0,101,0,4,0.8,0.16,1,0,0.2537,0
0.1212,10,249,0,5,0.93,0.16,1,0,0.2537,-10.45
0.1212,1,143,0,23.0,-7.178,0.18,2,-8.4625,0.2239,0
5.2925,3,57,0,7,0.86,0.18,2,0,0.1045,17.07
0.0758,1,68,0,8,0.86,0.18,2,0,0.2836,0
0.0455,175.0,81,0,10,0.87,0.2,2,0,0,0
0,3,91,0,12,0.82,0.18,2,0,0.1343,0
5.2925,0,215,18.130475,13,0.8,0.18,2,0,16.355,0
0.0303,1,185,0,14,0.8,0.16,2,13.8775,0,0
0.0152,0,152,0,15,0.87,0.16,-2.5,0,0.1642,0
0.0303,0,126,0,16,0.93,0.14,2,0,0.1642,0
0.0152,0,57,0,17,0.93,0.16,2,0,0.1642,0
0,1,56,0,18,0.93,0.2,2,0,0.2985,17.07
0.0303,3,31,0,19,0.93,0.2,2,0,0.2836,0
0.0606,3,21,0,20,0.93,0.22,2,0,0.2537,0
0.1061,10,2,0,22,0.93,0.22,2,0,0.2537,0
0.1667,12,1,0,23,11.9068,0.22,2,1,0.2836,0
0.1364,11,1,0,0,11.9068,0.22,2,1,0.2985,0
0.1364,11,27,0,2,0.93,0.22,2,1,0.2537,0
0.197,8,332.0,0,3,0.93,0.22,3,1,0.2239,0
0.0909,0,217,0,4,0.93,0.22,3,1,0.2537,0
0.1061,6,166,0,5,0.87,0.22,3,1,0.1642,0
0.1061,0,59,0,20.375,0.62,-2.388,3,1,0.1642,0
0.1515,7,78,0,8,0.58,0.22,2,1,0.1642,17.07
0.0758,18.26,332.0,0,9,0.54,0.22,2,1,0.1343,0
0.0758,2,-22.3228125,0,23.0,0.58,3.4328,2,1,0.1045,0
0.0606,3,-22.3228125,0,12,0.61,0.24,2,1,0.2239,0
-3.4875,0,120,0,23.0,0.57,3.4328,2,1,0.194,0
0.1061,1,53,0,14,0.49,0.24,2,1,0.2537,0
0.0758,3,41,0,15,11.9068,3.4328,2,1,0.194,0
0.1061,7,34,0,16,0.52,0.28,2,1,0.1343,-10.45
0.1364,22,27,18.130475,17,0.52,0.3,4.0,1,0.1642,-10.45
0.1212,24,13,0,18,0.56,3.4328,2,1,0.194,17.07
0.1364,17,11,0,19,0.56,0.4,2,1,0.1343,17.07
0.1364,13,7,18.130475,20,0.56,0.4,2,1,0.2239,0
0.1061,4,8,0,22,0.56,0.38,2,1,-9.925,0
0.0909,5,37.3936875,18.130475,0,0.56,0.36,3,1,0.2537,-10.45
0.0606,4,53,0,1,0.6,0.34,3,1,0.194,0
0.0455,0,70,0,3,0.55,0.32,2,2,0.1343,0
0.0606,0,103,0,5,0.52,0.3,2,2,0.1343,0
0.1364,6,83,0,6,0.48,0.3,2,2,0.1045,0
0.1364,6,54,0,8,0.42,0.26,2,2,0.1642,0
5.2925,3,59,0,9,0.45,3.4328,2,2,0.194,0
0.1364,11,45,18.130475,10,0.45,0.26,2,2,0.2537,0
0.1364,6,39,0,11,0.45,3.4328,1,2,0.194,17.07
0.1364,2,332.0,0,12,0.49,0.24,1,2,0.194,0
0.1667,-11.1,33,0,13,0.49,0.22,1,2,0.194,0
5.2925,4,22,0,14,0.56,0.22,1,2,0.2537,0
0.1212,6,13,0,15,0.56,0.22,1,3,-9.925,0
0.1364,8,18,0,16,0.6,0.24,4.0,3,0.3284,0
0.1515,-11.1,5,0,17,0.6,0.26,1,3,0.2239,0
0.1364,1,3,0,18,0.65,0.28,-2.5,-8.4625,0.1642,0
0.1515,6,1,0,19,0.65,0.3,1,3,0.1642,0
0.1364,3,2,0,10.375,0.7,0.28,1,3,0.194,0
5.2925,3,19,-10.884125,21,0.7,3.4328,1,3,0.194,0
0.1515,0,58,-10.884125,23,11.9068,0.3,1,3,0.1343,0
0.1818,1,87,0,2,0.6,0.26,1,13.8775,0.1045,0
0.1515,5,110,0,3,0.55,0.26,1,13.8775,0.0896,1
0.1818,5,332.0,0,20.375,0.51,0.26,1,3,0,1
0.2273,10,-22.3228125,0,-12.625,-7.178,3.4328,4.0,3,0,1
0.2424,6,55,0,7,-7.178,3.4328,1,3,0.1343,1
0.2879,21,50,0,8,0.47,0.24,1,3,0.1343,17.07
0.3333,11,35,18.130475,9,-4.178,0.24,2,3,0.1343,1
0.3485,21,25,0,10,0.27,0.24,1,13.8775,0.0896,1
0.3485,14,28,18.130475,11,11.9068,0.24,2,3,0.0896,1
0.3182,7,7,0,23.0,0.26,0.22,2,3,0.1045,1
0.2576,13,1,0,14,0.26,0.24,2,3,0.1045,1
0.2273,16,1,0,15,11.9068,0.22,2,3,0.1045,1
0.2273,4,5,0,16,0.3,0.2,2,4,0.1343,1
0.2273,3,15,0,17,0.3,0.2,2,13.8775,0.0896,1
0.2273,3,84,0,18,0.33,0.2,2,4,0.0896,1
0.2273,3,102,18.130475,20,0.41,0.22,3.5,4,0.2836,1
0.1818,0,40,18.130475,21,0.38,0.22,2,4,0.2537,1
0.2121,3,332.0,0,22,0.45,0.2,2,4,0.2836,1
0.2121,2,60,0,23,0.41,0.2,2,13.8775,0.3881,1
5.2925,6,45,0,0,0.41,0.16,2,4,0.3284,1
0.197,4,70,0,2,0.48,0.14,2,4,0.2836,1
0.197,0,332.0,0,3,0.44,0.12,3,4,0.4179,1
0.1818,1,153,0,5,0.44,0.12,3,4,0.2985,1
0.197,1,106,0,6,0.44,3.4328,2,4,0.4179,1
0.1818,175.0,81,0,7,0.41,0.08,1,4,16.355,1
0.2273,1,59,0,8,0.41,0.06,1,4,0.4627,17.07
0.2424,2,35,0,9,11.9068,0.06,1,4,0.3881,1
0.2273,175.0,24,0,10,0.38,0.04,1,4,0,17.07
5.2925,4,5,0,12,0.33,0.04,1,4,0,1
0.2121,2,2,0,13,0.28,0.04,1,4,16.355,1
0.2121,0,1,0,14,0.28,0.02,1,4,0.1642,1
0.197,175.0,9,0,15,0.28,0.02,1,4,-9.925,1
0.2121,0,36,0,23.0,0.35,0.02,1,4,0.2239,1
